策划备注,模板编号,发送频道 1大喇叭 2系统 3公会,发送对象 1在线玩家 2个人 3公会 4公会官员,"发送模板 一个玩家{user} 攻击被攻击{attacker}、{defender} <font color='#000000'>xxx</font>
"
跨服竞技场荣誉等级提升（达到X等级）,206,2,1,{user}在跨服竞技场中荣誉等级提升至{level}，名扬四海，指日可待。
获得成就,301,2,1,{user}获得成就“<font color='#FFA500'>{achieve_id}</font>”，载入名册，可喜可贺。
获得称号,401,2,1,{user}获得称号“<font color='#FFA500'>{title_id}</font>”，载入名册，可喜可贺。
通关魔王副本（仅在第一次通关时、包括组队）,503,1,1,{users}顺利通关魔王副本{copy_id}，气势万钧，威震三界。
世界BOSS开始前5分钟,601,1,1,<font color='#FF0000'>{boss_id}</font>即将现世，有心除之的英雄请做好准备奔赴战局。
世界BOSS开始,602,1,1,<font color='#FF0000'>{boss_id}</font>已现身世间，有心除之的英雄请即刻奔赴战局。
世界BOSS被某玩家最后一击,603,2,1,{boss_id}已被击败，{user}成功以最后一击之力将其斩杀，成为渡航者。获得击杀奖励：铜钱{copper}，灵力{wakan}，声望{prestige}
世界BOSS伤害排名前三及对应奖励 第一,604,2,1,"本次世界BOSS{boss_id}伤害最高前三名。
第一名：{user}伤害{damage}获得伤害排名奖励：铜钱{copper}，灵力{wakan}，声望{prestige}。"
世界BOSS伤害排名前三及对应奖励 第二,605,2,1,第二名：{user}伤害{damage}获得伤害排名奖励：铜钱{copper}，灵力{wakan}，声望{prestige}。
世界BOSS伤害排名前三及对应奖励 第三,606,2,1,第三名：{user}伤害{damage}获得伤害排名奖励：铜钱{copper}，灵力{wakan}，声望{prestige}。
获得法宝（龙宫寻宝）,701,2,1,喜得天赐！{user}在龙宫寻宝中获得{talisman_id}法宝。
获得法宝（XX活动）,705,2,1,喜得天赐！{user}在活动中获得{talisman_id}法宝。
获得斗魂（通过八卦合成获得）,801,2,1,{user}获得{demon_id}斗魂，斗魂之力威能滔天而起，轮转四象，生两仪，化太极，直指苍穹。
获得斗魂（XX活动）,802,2,1,{user}在活动中获得{demon_id}斗魂，真是吉星高照。
获得高品质装备（副本）,901,2,1,通关{copy_id}，{user}竟获得令人垂涎的{item_id}，可喜可贺。
获得高品质装备（日常）,902,2,1,{user}通过每日任务，竟获得令人垂涎的{item_id}，可喜可贺。
获得宝石,1001,2,1,通过宝石探索，{user}竟获得令人垂涎的{gem_id}，可喜可贺。
玩家申请加入某公会,1101,2,4,{user}申请加入公会。
申请加入公会被通过,1102,3,3,{leader}通过了{user}的入会申请。
申请加入公会被通过,1103,2,2,恭喜你，你申请加入{guild}公会的请求通过了。
申请加入公会被拒绝,1104,2,2,很遗憾，你申请加入{guild}公会的请求被拒绝了。
退出公会,1105,3,3,{user}退出公会。
会长转让,1106,3,3,公会会长已由{old_president}转为{new_president}。
会长转让,1107,3,2,你已接受转让，成为{guild}公会会长。
公会BOSS开启前系统消息,1108,3,3,<font color='#FF0000'>公会BOSS</font>活动即将开启，请参加活动的会员厉兵秣马，做好准备。
公会BOSS开启消息,1109,3,3,<font color='#FF0000'>公会BOSS</font>活动已然开启，请参加活动的会员尽力施为，为公会争得荣誉。
公会BOSS战结束,1110,3,3,<font color='#FF0000'>公会BOSS</font>活动已然结束，请参加活动的会员养精蓄锐，以图后战。
公会宣言,1111,2,3,公会宣言:{declare}
自己被踢出公会,1112,2,2,你已被{kicker}请离公会。
公会成员被踢出公会,1113,3,3,{bekicker}已被{kicker}请离公会。
自己成为公会副会长,1114,2,2,你已成为公会副会长。
公会成员成为副会长,1115,3,3,{user}已成为公会副会长。
公会BOSS时间设定,1116,2,3,公会BOSS时间已设定。
弹劾会长成功,1117,2,3,弹劾会长成功，{user}成为新任会长，公会气象一新。
公会积分BOSS即将开始,1118,1,1,<font color='#FF0000'>封印妖狐</font>即将开始，请各公会会长准备召集小伙伴啦！
公会积分BOSS开始,1119,1,1,<font color='#FF0000'>封印妖狐</font>已经开始了，请大家做好战斗准备。
VIP等级提升,1201,1,1,{user}<font color='#FC00FF'>VIP等级</font>已提升至<font color='#FC00FF'>{vip}</font>级，令人钦羡！
神翼等级提升,1202,1,1,{user}神翼进阶为<font color='#FC00FF'>{wing_level}</font>，实力大增，驰骋九州，睥睨天下！
体力福利,1301,1,1,免费的<font color='#32CD32'>50点体力</font>福利已发送，请大家再战西游！
开服活动神翼,1401,1,1,{user}在开服活动中领取了<font color='#FFA500'>神翼</font>排名<font color='#FFA500'>第一</font>的奖励，碉堡了！
开服活动竞技场,1402,1,1,{user}在开服活动中领取了<font color='#FFA500'>竞技场</font>排名<font color='#FFA500'>第一</font>的奖励，碉堡了！
开服活动公会,1403,1,1,{user}身为会长，在开服活动中领取了<font color='#FFA500'>公会</font>排名<font color='#FFA500'>第一</font>的奖励，碉堡了！
开服活动跨服战,1404,1,1,{user}在开服活动中领取了<font color='#FFA500'>跨服战</font>排名<font color='#FFA500'>第一</font>的奖励，碉堡了！
开服活动声望,1405,1,1,{user}在开服活动中领取了<font color='#FFA500'>声望</font>排名<font color='#FFA500'>第一</font>的奖励，碉堡了！
开服活动战斗力,1406,1,1,{user}在开服活动中领取了<font color='#FFA500'>战斗力</font>排名<font color='#FFA500'>第一</font>的奖励，碉堡了！
